Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_resnet20_sync_batch256,2,11.8531,43.8362,50.1997,20.01811111,64.452,44593
cifar10_resnet20_sync_batch32,1,10.7321,45.1371,61.2634,3.558,63.5239,14612
cifar10_resnet20_sync_batch32,2,12.4348,36.0013,46.5152,15.943,51.5529,14595
cifar10_resnet20_sync_batch512,1,16.1012,60.8467,82.6526,3.641666667,84.0408,45646
cifar10_resnet20_sync_batch512,2,13.7339,59.4505,64.0153,22.43511111,82.4394,45595
cifar10_resnet20_sync_batch64,1,10.6452,45.8049,62.9898,2.491111111,63.9007,44423
cifar10_resnet20_sync_batch64,2,14.331,41.9734,55.5759,10.52477778,58.4372,44309
cifar10_resnet20_sync_dataFormat,1,11.8898,44.36,61.4222,3.120777778,62.9325,14407
cifar10_resnet20_sync_dataFormat,2,9.1668,35.3659,45.4858,14.86166667,49.1911,14354
cifar10_resnet20_sync_optMomentum,1,15.3831,64.4942,69.8721,3.296444444,71.7878,45462
cifar10_resnet20_sync_optMomentum,2,11.1267,63.097,61.7313,12.11455556,66.2372,45504
cifar10_resnet20_sync_optRmsprop,1,10.5949,53.2026,56.9337,4.212888889,59.5136,45499
cifar10_resnet20_sync_optRmsprop,2,11.2444,48.3724,49.3193,9.863777778,52.3716,45445
cifar10_resnet20_sync_use_fp16,1,13.1917,45.602,65.6362,3.220111111,66.9608,45209
cifar10_resnet20_sync_use_fp16,2,13.2999,38.4273,53.7431,16.00888889,57.2626,45158
cifar10_resnet20_sync_winograd,1,15.648,45.8296,63.9786,3.416444444,65.8648,14485
cifar10_resnet20_sync_winograd,2,13.2407,40.6491,50.9054,17.61933333,56.007,14479
cifar10_resnet20_sync_xla,1,11.5303,47.5727,63.2714,3.322666667,64.6077,44952
cifar10_resnet20_sync_xla,2,12.4025,42.9997,55.2204,11.647,58.6806,44946
cifar10_resnet20_v2_async_batch128,1,8.6309,42.8308,57.1178,3.117111111,58.1659,14225
cifar10_resnet20_v2_async_batch128,2,10.0331,34.8659,44.0755,7.704222222,48.5239,14170
cifar10_resnet20_v2_async_batch256,1,9.3277,42.7999,56.5406,3.881222222,57.9862,44169
cifar10_resnet20_v2_async_batch256,2,10.6649,41.7463,43.1888,13.20033333,54.1375,44112
cifar10_resnet20_v2_async_batch32,1,8.2497,38.2074,49.3055,3.308888889,50.5534,13955
cifar10_resnet20_v2_async_batch32,2,11.4762,45.1225,57.9161,7.513,62.29,13898
cifar10_resnet20_v2_async_batch512,1,12.8655,61.879,79.0917,2.462777778,80.1893,44605
cifar10_resnet20_v2_async_batch512,2,8.7307,63.9504,45.9306,37.05422222,78.0289,44372
cifar10_resnet20_v2_async_batch64,1,10.4508,34.1895,47.149,4.735,48.7197,44454
cifar10_resnet20_v2_async_batch64,2,14.5167,40.6213,55.4571,10.08777778,61.7591,44391
cifar10_resnet20_v2_async_dataFormat,1,8.8982,40.7764,53.5935,3.937888889,55.8669,44200
cifar10_resnet20_v2_async_dataFormat,2,9.5133,40.5524,51.0466,7.230777778,54.405,44139
cifar10_resnet20_v2_async_optMomentum,1,10.4628,40.4537,44.9079,4.276666667,47.2405,14638
cifar10_resnet20_v2_async_optMomentum,2,10.5004,46.2849,47.8632,11.36611111,55.2023,14820
cifar10_resnet20_v2_async_optRmsprop,1,10.1143,42.0397,45.8112,4.580555556,48.0818,15064
cifar10_resnet20_v2_async_optRmsprop,2,10.5879,48.0646,46.5179,9.511444444,52.0567,15012
cifar10_resnet20_v2_async_use_fp16,1,10.5318,52.2433,65.1929,3.375555556,66.7336,45223
cifar10_resnet20_v2_async_use_fp16,2,10.173,52.8934,65.2034,7.814777778,69.7143,44976
cifar10_resnet20_v2_async_winograd,1,10.4397,46.6579,60.4599,5.101666667,63.2282,14084
cifar10_resnet20_v2_async_winograd,2,8.5413,34.7463,42.541,7.892,47.7792,14018
cifar10_resnet20_v2_async_xla,1,9.8087,39.59,54.4053,2.965222222,55.4414,13928
cifar10_resnet20_v2_async_xla,2,8.797,47.0252,54.3469,8.062444444,58.9966,14015
cifar10_resnet20_v2_sync_batch128,1,10.6582,48.066,64.6941,2.788444444,66.1666,45144
cifar10_resnet20_v2_sync_batch128,2,12.3539,39.7581,54.2239,13.76544444,57.6124,44907
cifar10_resnet20_v2_sync_batch256,1,14.2364,42.6878,61.5253,3.799444444,63.5953,44685
cifar10_resnet20_v2_sync_batch256,2,10.745,41.588,47.779,18.31333333,56.9839,44578
cifar10_resnet20_v2_sync_batch32,1,8.4588,38.5222,51.1554,3.395666667,52.9269,44236
cifar10_resnet20_v2_sync_batch32,2,9.5994,30.9297,41.4364,11.20688889,45.1331,44152
cifar10_resnet20_v2_sync_batch512,1,11.8386,61.3627,77.5013,3.778555556,79.4123,45105
cifar10_resnet20_v2_sync_batch512,2,10.2346,60.1729,49.4047,32.17066667,75.3643,45103
cifar10_resnet20_v2_sync_batch64,1,13.3031,39.5285,55.0641,2.904333333,56.5475,44523
cifar10_resnet20_v2_sync_batch64,2,9.5486,33.3895,48.2329,9.618888889,51.7379,44466
cifar10_resnet20_v2_sync_dataFormat,1,12.5377,42.6811,57.5189,4.881111111,60.0444,44416
cifar10_resnet20_v2_sync_dataFormat,2,12.9057,32.6156,43.3711,17.36522222,48.5085,44361
cifar10_resnet20_v2_sync_optMomentum,1,10.365,61.4145,65.2204,2.932777778,66.9477,45151
cifar10_resnet20_v2_sync_optMomentum,2,10.8249,59.9058,62.1247,6.066777778,64.3135,45149
cifar10_resnet20_v2_sync_optRmsprop,1,12.4383,65.2515,67.7787,3.287888889,69.6602,46210
cifar10_resnet20_v2_sync_optRmsprop,2,9.3928,56.1305,54.4217,17.967,59.007,46205
cifar10_resnet20_v2_sync_use_fp16,1,11.4071,40.8912,73.4965,2.673777778,73.9937,14611
cifar10_resnet20_v2_sync_use_fp16,2,15.1524,47.7848,63.1945,13.126,67.8092,14609
cifar10_resnet20_v2_sync_winograd,1,10.1871,37.4516,52.257,3.880333333,54.0212,44131
cifar10_resnet20_v2_sync_winograd,2,9.4354,32.6034,44.673,9.089888889,48.2522,44077
cifar10_resnet20_v2_sync_xla,1,11.814,47.2337,63.2159,3.65,64.7811,13954
cifar10_resnet20_v2_sync_xla,2,10.3909,38.0489,50.7968,13.94788889,53.4369,13898
cifar10_resnet32_async_batch128,1,16.092,52.5364,76.1773,4.225,77.306,46699
cifar10_resnet32_async_batch128,2,19.8243,60.9493,72.4261,11.53666667,81.3416,46693
cifar10_resnet32_async_batch256,1,16.4608,61.5725,84.6125,3.595222222,86.332,47005
cifar10_resnet32_async_batch256,2,24.2091,69.7044,91.1456,16.12166667,102.6578,46954
cifar10_resnet32_async_batch32,1,13.9735,68.491,90.9322,4.329444444,92.8552,16659
cifar10_resnet32_async_batch32,2,15.0098,78.2949,97.1455,8.024888889,101.3165,16657
cifar10_resnet32_async_batch512,1,15.482,84.4212,108.9429,4.542444444,110.7679,47423
cifar10_resnet32_async_batch512,2,16.4833,98.3942,78.0363,51.36122222,122.7173,47407
cifar10_resnet32_async_batch64,1,13.7421,56.5989,76.2308,4.028666667,78.2769,16391
cifar10_resnet32_async_batch64,2,21.0201,70.8914,96.0003,11.93655556,102.9262,16163
cifar10_resnet32_async_dataFormat,1,18.3393,77.5893,100.923,3.933666667,102.2456,46637
cifar10_resnet32_async_dataFormat,2,15.4078,69.5837,86.8627,8.120555556,91.3811,46528
cifar10_resnet32_async_optMomentum,1,14.9839,73.5957,79.2727,4.733777778,82.6078,48451
cifar10_resnet32_async_optMomentum,2,19.9577,93.0328,95.5791,12.29333333,102.6938,48396
cifar10_resnet32_async_optRmsprop,1,19.5489,82.9183,86.965,5.258444444,89.001,49436
cifar10_resnet32_async_optRmsprop,2,14.5821,93.2645,94.294,14.45888889,104.0994,49380
cifar10_resnet32_async_use_fp16,1,20.7293,68.8572,93.2384,3.340555556,94.4542,17752
cifar10_resnet32_async_use_fp16,2,18.6576,86.0201,100.1303,15.12233333,108.4748,17701
cifar10_resnet32_async_winograd,1,14.8108,68.7465,87.1496,5.011,88.9826,46552
cifar10_resnet32_async_winograd,2,12.0337,69.9993,83.8329,10.31944444,89.6727,46788
cifar10_resnet32_async_xla,1,20.1796,71.4213,99.2997,4.707222222,101.6854,46697
cifar10_resnet32_async_xla,2,15.5418,65.7779,79.4703,10.91444444,85.8053,46643
cifar10_resnet32_sync_batch128,1,16.4767,79.0438,102.2834,5.076777778,105.0532,47485
cifar10_resnet32_sync_batch128,2,19.5801,68.3148,93.4315,14.69966667,99.6119,47481
cifar10_resnet32_sync_batch256,1,16.7683,74.8286,101.6591,3.682555556,103.576,47121
cifar10_resnet32_sync_batch256,2,15.6433,68.5332,83.4868,22.73411111,92.7997,47120
cifar10_resnet32_sync_batch32,1,14.5421,71.2924,94.1095,3.878333333,95.8118,47096
cifar10_resnet32_sync_batch32,2,21.3772,57.2297,76.0768,23.45544444,79.7533,47041
cifar10_resnet32_sync_batch512,1,15.0691,91.2815,116.8366,3.213444444,118.3966,47858
cifar10_resnet32_sync_batch512,2,16.3871,87.9604,82.9339,38.07888889,114.5324,47801
cifar10_resnet32_sync_batch64,1,16.4905,77.059,102.4302,3.088,103.8696,16814
cifar10_resnet32_sync_batch64,2,15.8488,66.1258,85.1072,21.76811111,89.0671,16857
cifar10_resnet32_sync_dataFormat,1,18.848,67.148,91.4398,4.404444444,93.0349,47016
cifar10_resnet32_sync_dataFormat,2,16.2516,60.8341,84.6739,11.54477778,88.2631,46961
cifar10_resnet32_sync_optMomentum,1,16.3232,99.3835,104.1128,4.123222222,107.0984,18246
cifar10_resnet32_sync_optMomentum,2,20.4285,82.883,83.5666,24.91455556,88.1835,18376
cifar10_resnet32_sync_optRmsprop,1,14.5345,101.6075,107.6973,3.457888889,109.7954,50220
cifar10_resnet32_sync_optRmsprop,2,21.1754,82.8102,84.8089,21.00588889,90.3662,50168
cifar10_resnet32_sync_use_fp16,1,24.2416,70.3877,101.4463,2.918777778,102.7244,48100
cifar10_resnet32_sync_use_fp16,2,19.1342,67.853,86.8317,17.36333333,90.5858,48042
cifar10_resnet32_sync_winograd,1,20.965,75.1711,100.636,4.721888889,103.7361,47051
cifar10_resnet32_sync_winograd,2,18.5795,60.3469,79.2711,27.32266667,84.7878,47046
cifar10_resnet32_sync_xla,1,23.2774,68.1187,97.9517,4.624444444,100.4802,16990
cifar10_resnet32_sync_xla,2,20.9486,55.2798,70.7692,30.72333333,76.4588,16928
cifar10_resnet32_v2_async_batch128,1,10.3354,55.1721,69.2841,4.961222222,71.4727,16430
cifar10_resnet32_v2_async_batch128,2,11.7399,71.4818,86.1338,10.72788889,93.0313,16422
cifar10_resnet32_v2_async_batch256,1,15.4154,76.6873,99.3156,3.623666667,102.309,46348
cifar10_resnet32_v2_async_batch256,2,16.3088,66.7586,72.0361,15.90855556,85.3713,46525
cifar10_resnet32_v2_async_batch32,1,17.3891,68.3412,90.9496,4.305666667,92.5536,16305
cifar10_resnet32_v2_async_batch32,2,14.2161,62.5867,78.3678,8.979555556,84.0607,16304
cifar10_resnet32_v2_async_batch512,1,17.0324,85.4777,110.5578,3.440888889,112.7696,47452
cifar10_resnet32_v2_async_batch512,2,17.8409,100.1519,80.601,51.16255556,125.0077,47488
cifar10_resnet32_v2_async_batch64,1,14.4956,51.0309,66.5566,5.001111111,68.8003,16126
cifar10_resnet32_v2_async_batch64,2,12.8274,56.6771,66.7631,8.195222222,72.0663,16065
cifar10_resnet32_v2_async_dataFormat,1,14.1811,59.5199,76.2133,3.262111111,77.7011,46308
cifar10_resnet32_v2_async_dataFormat,2,15.3909,70.9698,85.6986,10.90833333,92.7026,46481
cifar10_resnet32_v2_async_optMomentum,1,14.6207,75.8828,78.3693,5.390444444,81.2876,47653
cifar10_resnet32_v2_async_optMomentum,2,15.2875,86.7647,87.1117,12.06733333,94.2114,47598
cifar10_resnet32_v2_async_optRmsprop,1,17.3771,73.4508,82.0525,4.114555556,83.9894,18391
cifar10_resnet32_v2_async_optRmsprop,2,12.6601,61.7891,60.6605,9.375666667,66.01,18429
cifar10_resnet32_v2_async_use_fp16,1,15.1504,59.8,75.2872,4.508888889,77.7201,47174
cifar10_resnet32_v2_async_use_fp16,2,18.9517,67.4312,85.5342,9.686555556,91.4257,47119
cifar10_resnet32_v2_async_winograd,1,14.4669,73.324,91.6606,6.011111111,95.7228,46466
cifar10_resnet32_v2_async_winograd,2,13.1061,66.433,79.0782,11.96733333,87.639,46446
cifar10_resnet32_v2_async_xla,1,16.16,55.0871,76.2122,4.501111111,78.621,45881
cifar10_resnet32_v2_async_xla,2,14.6041,61.8034,78.0168,7.864555556,82.0603,45929
cifar10_resnet32_v2_sync_batch128,1,18.0395,64.3357,86.0624,4.079333333,88.4978,46764
cifar10_resnet32_v2_sync_batch128,2,15.6128,60.2108,75.76,15.81633333,79.8031,46694
cifar10_resnet32_v2_sync_batch256,1,14.6231,73.1441,99.8024,3.667111111,101.1419,47183
cifar10_resnet32_v2_sync_batch256,2,16.5267,69.9122,84.6832,20.13911111,93.1982,47181
cifar10_resnet32_v2_sync_batch32,1,16.7933,64.085,84.7943,3.874666667,86.4046,46993
cifar10_resnet32_v2_sync_batch32,2,17.0589,58.9541,75.1506,13.12066667,79.4121,46980
cifar10_resnet32_v2_sync_batch512,1,18.1321,94.1714,123.6329,3.400888889,124.5614,47530
cifar10_resnet32_v2_sync_batch512,2,13.0119,96.9214,73.9121,50.52888889,119.7907,47525
cifar10_resnet32_v2_sync_batch64,1,16.6854,78.4861,100.1543,5.172222222,103.2022,46608
cifar10_resnet32_v2_sync_batch64,2,20.4162,67.6028,91.8525,12.26277778,96.8647,46556
cifar10_resnet32_v2_sync_dataFormat,1,13.9586,55.5011,79.8707,3.788777778,81.963,46633
cifar10_resnet32_v2_sync_dataFormat,2,15.1067,48.7693,65.4089,16.649,69.0869,46628
cifar10_resnet32_v2_sync_optMomentum,1,14.2469,83.0372,86.6819,3.560777778,88.1966,47846
cifar10_resnet32_v2_sync_optMomentum,2,19.8488,73.8327,73.836,17.34944444,78.1594,47841
cifar10_resnet32_v2_sync_optRmsprop,1,16.008,77.4998,83.0499,3.184444444,84.9488,48702
cifar10_resnet32_v2_sync_optRmsprop,2,13.0975,66.9327,67.4854,20.31933333,70.6105,48686
cifar10_resnet32_v2_sync_use_fp16,1,15.0833,77.8491,100.6326,3.658777778,102.6443,47554
cifar10_resnet32_v2_sync_use_fp16,2,16.3091,61.0936,80.4625,24.99711111,83.3754,47498
cifar10_resnet32_v2_sync_winograd,1,14.3533,66.1794,86.8581,3.064333333,88.898,46570
cifar10_resnet32_v2_sync_winograd,2,14.7908,57.8868,74.8697,13.43688889,78.9894,46568
cifar10_resnet32_v2_sync_xla,1,18.4706,69.8441,92.3497,3.795888889,94.188,47096
cifar10_resnet32_v2_sync_xla,2,14.6428,68.6005,84.5268,10.275,88.0198,46857
cifar10_resnet44_async_batch128,1,21.2803,82.9136,107.9447,4.597444444,110.5634,48939
cifar10_resnet44_async_batch128,2,25.1945,80.6907,103.5408,8.928333333,110.7732,48881
cifar10_resnet44_async_batch256,1,24.3656,100.0618,127.5855,3.715555556,128.8364,49432
cifar10_resnet44_async_batch256,2,25.1244,93.8297,109.1566,19.71188889,125.4047,49418
cifar10_resnet44_async_batch32,1,27.9614,81.4435,113.7778,4.061222222,116.2491,48974
cifar10_resnet44_async_batch32,2,23.0007,86.0507,112.1531,13.79466667,121.8416,49020
cifar10_resnet44_async_batch512,1,19.6243,116.6412,145.7803,3.397222222,147.3645,50436
cifar10_resnet44_async_batch512,2,23.1564,-1E+12,111.8768,72.00744444,176.3244,50428
cifar10_resnet44_async_batch64,1,17.3981,84.951,109.321,3.795666667,111.067,49539
cifar10_resnet44_async_batch64,2,24.8969,89.3551,112.4906,8.976,118.1867,49583
cifar10_resnet44_async_dataFormat,1,17.6702,73.2852,98.4232,4.686444444,100.7018,19232
cifar10_resnet44_async_dataFormat,2,15.942,109.8485,138.7469,9.500777778,143.9914,19229
cifar10_resnet44_async_optMomentum,1,20.0222,95.848,100.2219,3.268444444,101.9738,51101
cifar10_resnet44_async_optMomentum,2,26.4926,99.0457,109.6199,8.819777778,114.8079,50857
cifar10_resnet44_async_optRmsprop,1,26.4239,120.3309,126.0451,6.313555556,128.6,23638
cifar10_resnet44_async_optRmsprop,2,29.3138,112.9208,102.1264,20.38844444,118.9355,23588
cifar10_resnet44_async_use_fp16,1,22.7935,105.7905,131.8771,3.993111111,134.0163,20342
cifar10_resnet44_async_use_fp16,2,25.4617,111.3364,134.0817,8.024666667,141.9225,20199
cifar10_resnet44_async_winograd,1,18.5654,81.7559,108.4044,3.705777778,110.156,49333
cifar10_resnet44_async_winograd,2,20.5959,90.3297,117.3346,13.78544444,126.8104,49275
cifar10_resnet44_async_xla,1,17.5603,92.0955,118.5982,4.993444444,120.2224,48449
cifar10_resnet44_async_xla,2,21.4795,99.587,127.1742,10.33288889,132.3368,48397
cifar10_resnet44_sync_batch128,1,25.2464,91.1487,122.4021,4.275888889,125.0119,49646
cifar10_resnet44_sync_batch128,2,25.6808,62.9918,87.4705,35.35244444,93.9543,49294
cifar10_resnet44_sync_batch256,1,22.7261,107.6351,138.5779,3.547111111,140.1209,50479
cifar10_resnet44_sync_batch256,2,24.2261,101.2231,118.9144,24.66222222,131.5439,50460
cifar10_resnet44_sync_batch32,1,25.6194,103.9433,137.7462,3.323,139.1545,49978
cifar10_resnet44_sync_batch32,2,28.2547,87.2654,117.687,25.49222222,126.755,49795
cifar10_resnet44_sync_batch512,1,20.0054,123.2575,154.3768,3.322555556,156.3281,20167
cifar10_resnet44_sync_batch512,2,24.297,116.4846,103.0369,56.56477778,148.1094,20106
cifar10_resnet44_sync_batch64,1,28.61,102.0568,136.696,4.316111111,138.6193,49604
cifar10_resnet44_sync_batch64,2,28.7657,85.9524,118.7683,23.52811111,121.9835,49600
cifar10_resnet44_sync_dataFormat,1,30.4993,85.8036,117.3481,2.717444444,118.4565,49569
cifar10_resnet44_sync_dataFormat,2,20.0254,79.389,105.1661,15.99355556,109.2632,49622
cifar10_resnet44_sync_optMomentum,1,18.9806,112.2273,121.1613,3.245444444,122.5868,51837
cifar10_resnet44_sync_optMomentum,2,25.8839,110.3575,108.9463,16.35088889,114.854,51835
cifar10_resnet44_sync_optRmsprop,1,25.7494,124.6873,132.8171,3.685333333,134.2627,53545
cifar10_resnet44_sync_optRmsprop,2,29.5209,110.5192,116.7227,20.60222222,120.7555,53486
cifar10_resnet44_sync_use_fp16,1,27.179,111.4335,163.8013,2.683111111,164.788,20557
cifar10_resnet44_sync_use_fp16,2,31.0104,110.253,145.7745,18.97811111,148.9963,20493
cifar10_resnet44_sync_winograd,1,23.272,107.9082,146.8709,3.045777778,148.0064,49854
cifar10_resnet44_sync_winograd,2,23.4452,84.26,109.0981,37.531,116.8379,49853
cifar10_resnet44_sync_xla,1,22.6378,102.2054,138.6527,3.982333333,139.9223,19280
cifar10_resnet44_sync_xla,2,26.4707,81.2105,111.7276,33.77488889,123.9748,19220
cifar10_resnet44_v2_async_batch128,1,20.981,89.625,113.7828,5.109,117.2766,47993
cifar10_resnet44_v2_async_batch128,2,18.2638,88.532,109.6654,9.213666667,114.6168,48084
cifar10_resnet44_v2_async_batch256,1,17.4391,93.1592,120.6058,4.387555556,123.3984,48926
cifar10_resnet44_v2_async_batch256,2,16.1639,91.607,96.4528,23.77577778,116.1196,48973
cifar10_resnet44_v2_async_batch32,1,19.1893,80.908,105.2813,5.017,107.2642,48514
cifar10_resnet44_v2_async_batch32,2,16.6892,81.52,96.8632,12.71533333,104.0939,48656
cifar10_resnet44_v2_async_batch512,1,18.2524,117.9499,142.6105,3.722111111,144.3292,19840
cifar10_resnet44_v2_async_batch512,2,17.7313,136.3214,95.3225,69.77888889,159.4968,19782
cifar10_resnet44_v2_async_batch64,1,20.8095,80.7802,107.8178,4.035222222,110.195,18959
cifar10_resnet44_v2_async_batch64,2,21.5005,72.5966,88.5986,9.078222222,93.7347,18957
cifar10_resnet44_v2_async_dataFormat,1,25.972,84.9859,110.73,5.302222222,113.6282,18231
cifar10_resnet44_v2_async_dataFormat,2,24.4213,78.87,100.0352,9.176111111,105.783,18225
cifar10_resnet44_v2_async_optMomentum,1,24.3566,112.7231,120.1751,3.391,122.364,50190
cifar10_resnet44_v2_async_optMomentum,2,17.0379,107.7168,104.2612,13.46011111,113.0754,50144
cifar10_resnet44_v2_async_optRmsprop,1,20.0046,98.5788,104.4757,3.794666667,106.2283,21135
cifar10_resnet44_v2_async_optRmsprop,2,21.522,99.5576,104.8423,8.771111111,110.0916,21184
cifar10_resnet44_v2_async_use_fp16,1,21.846,98.1225,126.173,3.598,127.143,49583
cifar10_resnet44_v2_async_use_fp16,2,23.6615,88.462,111.663,8.773111111,116.3672,49480
cifar10_resnet44_v2_async_winograd,1,17.2282,90.8819,116.3681,5.404222222,119.5892,48753
cifar10_resnet44_v2_async_winograd,2,24.4366,85.1046,112.4895,11.41322222,118.5156,48744
cifar10_resnet44_v2_async_xla,1,22.7354,102.8713,128.7588,4.124333333,131.1619,19233
cifar10_resnet44_v2_async_xla,2,26.326,84.4663,108.5273,10.88866667,114.2305,19178
cifar10_resnet44_v2_sync_batch128,1,22.9272,103.9185,130.929,4.921444444,133.6396,49014
cifar10_resnet44_v2_sync_batch128,2,21.711,80.9586,106.7876,31.48833333,115.3997,48955
cifar10_resnet44_v2_sync_batch256,1,20.1851,102.0156,133.1428,4.271333333,136.3869,49368
cifar10_resnet44_v2_sync_batch256,2,21.139,86.2383,97.3046,41.038,112.5244,49366
cifar10_resnet44_v2_sync_batch32,1,25.0912,98.7695,130.636,4.973333333,132.1854,19094
cifar10_resnet44_v2_sync_batch32,2,23.2804,92.8629,124.0812,11.34044444,127.298,19041
cifar10_resnet44_v2_sync_batch512,1,26.0957,128.0515,158.6129,4.146555556,160.9376,49387
cifar10_resnet44_v2_sync_batch512,2,20.2312,132.0117,108.8757,53.15366667,157.3106,49429
cifar10_resnet44_v2_sync_batch64,1,24.3725,89.6837,122.4165,6.510888889,126.4715,48774
cifar10_resnet44_v2_sync_batch64,2,24.1387,74.3149,95.9468,35.05044444,102.0882,48772
cifar10_resnet44_v2_sync_dataFormat,1,28.8114,76.1825,108.3645,3.414,109.5929,48774
cifar10_resnet44_v2_sync_dataFormat,2,22.8628,68.413,86.6826,26.90522222,98.3711,48585
cifar10_resnet44_v2_sync_optMomentum,1,31.3164,118.7227,127.6713,4.283666667,129.6427,50102
cifar10_resnet44_v2_sync_optMomentum,2,27.6666,107.9894,107.4978,23.70866667,113.4392,50096
cifar10_resnet44_v2_sync_optRmsprop,1,27.2357,117.0062,128.4326,3.386555556,130.2699,21784
cifar10_resnet44_v2_sync_optRmsprop,2,20.5572,96.4385,98.6514,33.21555556,105.4637,21681
cifar10_resnet44_v2_sync_use_fp16,1,20.7366,83.9054,128.9481,2.833444444,130.2197,49402
cifar10_resnet44_v2_sync_use_fp16,2,22.9862,99.0806,122.6975,8.536888889,125.9594,49287
cifar10_resnet44_v2_sync_winograd,1,23.2513,97.4085,126.9695,3.844666667,128.3765,48989
cifar10_resnet44_v2_sync_winograd,2,21.1353,69.9043,95.5227,36.94033333,107.9017,48924
cifar10_resnet44_v2_sync_xla,1,27.0213,107.2953,131.5474,4.770777778,134.7489,49351
cifar10_resnet44_v2_sync_xla,2,25.1334,88.9291,112.7563,25.21133333,115.9151,49289
cifar10_resnet56_async_batch128,1,29.4218,85.9214,116.0857,3.600222222,117.352,51745
cifar10_resnet56_async_batch128,2,30.2191,101.3392,135.9376,12.90566667,143.9689,51743
cifar10_resnet56_async_batch256,1,27.2339,109.3874,145.2529,4.467333333,147.1633,22037
cifar10_resnet56_async_batch256,2,27.9431,116.9497,142.5527,25.98766667,162.9514,21934
cifar10_resnet56_async_batch32,1,25.7445,117.1101,144.3517,4.933333333,146.6033,51619
cifar10_resnet56_async_batch32,2,39.5368,102.4082,138.7399,9.212111111,145.2225,51562
cifar10_resnet56_async_batch512,1,23.0371,148.0899,181.6235,2.980666667,183.6649,53411
cifar10_resnet56_async_batch512,2,26.6537,180.0619,141.6239,88.14577778,224.8289,53409
cifar10_resnet56_async_batch64,1,26.8441,107.3157,140.9751,4.586666667,142.9454,51183
cifar10_resnet56_async_batch64,2,19.1699,111.2855,143.2475,9.395111111,148.8164,51174
cifar10_resnet56_async_dataFormat,1,25.6419,111.8742,151.2591,4.372333333,152.6177,51108
cifar10_resnet56_async_dataFormat,2,24.1801,100.8688,122.0719,13.68144444,131.7563,51159
cifar10_resnet56_async_optMomentum,1,27.2143,134.5889,140.9286,4.610444444,144.0156,53697
cifar10_resnet56_async_optMomentum,2,23.4794,135.0117,139.3901,7.496444444,143.6375,53550
cifar10_resnet56_async_optRmsprop,1,29.1205,134.9099,144.3524,6.822333333,146.3386,26914
cifar10_resnet56_async_optRmsprop,2,32.3102,143.6218,144.799,10.33566667,152.2012,26854
cifar10_resnet56_async_use_fp16,1,23.0977,104.7787,129.3977,3.070333333,130.3655,52905
cifar10_resnet56_async_use_fp16,2,32.8539,-1E+12,164.3637,12.63088889,172.2658,52850
cifar10_resnet56_async_winograd,1,24.1465,92.932,122.51,5.491444444,126.0157,21547
cifar10_resnet56_async_winograd,2,31.501,103.5983,132.4687,12.57644444,140.1252,21605
cifar10_resnet56_async_xla,1,25.2289,91.8013,123.3353,5.916111111,126.9844,21614
cifar10_resnet56_async_xla,2,22.1801,101.4111,125.4406,11.56588889,133.6964,21557
cifar10_resnet56_sync_batch128,1,28.9999,116.397,160.6829,3.310222222,162.0218,52207
cifar10_resnet56_sync_batch128,2,35.634,102.6013,141.4439,22.25388889,146.1263,52205
cifar10_resnet56_sync_batch256,1,26.2957,126.9248,158.961,3.005333333,159.6644,52251
cifar10_resnet56_sync_batch256,2,24.6042,114.8592,135.2478,27.146,152.2134,52250
cifar10_resnet56_sync_batch32,1,33.5002,110.3755,151.9573,3.541444444,153.617,51913
cifar10_resnet56_sync_batch32,2,30.1715,100.1669,136.2213,20.53355556,139.7377,51805
cifar10_resnet56_sync_batch512,1,33.5334,163.1213,213.4966,3.199777778,214.9801,53420
cifar10_resnet56_sync_batch512,2,27.4239,157.3383,155.0556,63.21466667,203.1227,53416
cifar10_resnet56_sync_batch64,1,28.1354,120.1165,154.8207,3.824666667,156.6334,22240
cifar10_resnet56_sync_batch64,2,30.6982,101.8808,134.7751,25.722,142.0899,22234
cifar10_resnet56_sync_dataFormat,1,31.388,118.8838,157.426,3.257888889,158.8979,22223
cifar10_resnet56_sync_dataFormat,2,33.8553,106.5379,141.4722,20.81177778,146.0304,21983
cifar10_resnet56_sync_optMomentum,1,26.7387,143.5649,157.5765,4.447777778,160.2964,54186
cifar10_resnet56_sync_optMomentum,2,27.5177,116.7823,122.7158,38.883,131.1331,54368
cifar10_resnet56_sync_optRmsprop,1,31.9279,151.4735,158.4537,4.105555556,159.4328,57431
cifar10_resnet56_sync_optRmsprop,2,23.1915,136.8996,144.4043,18.24388889,151.3287,57430
cifar10_resnet56_sync_use_fp16,1,32.9698,126.236,175.9221,3.405555556,178.2475,23022
cifar10_resnet56_sync_use_fp16,2,36.2379,122.6327,156.8755,23.33777778,159.9698,23209
cifar10_resnet56_sync_winograd,1,26.3985,119.7128,157.8545,4.920111111,160.6544,51409
cifar10_resnet56_sync_winograd,2,28.1598,97.7012,128.9569,36.77122222,137.6089,51592
cifar10_resnet56_sync_xla,1,32.59,114.647,158.2966,4.484,160.0814,51864
cifar10_resnet56_sync_xla,2,24.1069,102.8302,134.9881,28.474,138.2433,51858
cifar10_resnet56_v2_async_batch128,1,22.1482,91.6981,123.4589,4.165,125.9492,51148
