Model,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms)
cifar10_densenet100_k12_sync_batch128,1,54.7765,424.213,515.1546,4.627888889,516.3381,75954
cifar10_densenet100_k12_sync_batch128,2,60.229,437.112,322.9227,198.103,510.7,75698
cifar10_densenet100_k12_sync_batch256,1,58.7623,782.2584,878.0223,3.975444444,878.822,88228
cifar10_densenet100_k12_sync_batch256,2,65.2777,799.76,495.08,381.7744444,872.0731,87779
cifar10_densenet100_k12_sync_batch32,1,64.0664,220.6957,325.0671,4.285777778,326.8119,69515
cifar10_densenet100_k12_sync_batch32,2,68.8703,236.2573,295.2247,28.45733333,316.013,69415
cifar10_densenet100_k12_sync_batch64,1,56.5087,281.1628,384.0752,4.702111111,384.8382,71463
cifar10_densenet100_k12_sync_batch64,2,60.6182,299.2446,317.7734,71.64944444,382.6199,70994
cifar10_densenet100_k12_sync_dataFormat,1,77.9792,253.3936,363.6497,4.441333333,365.0017,70897
cifar10_densenet100_k12_sync_dataFormat,2,70.4524,255.3782,301.3472,69.98233333,342.9697,70310
cifar10_densenet100_k12_sync_optMomentum,1,54.6446,349.0352,384.8504,6.508444444,387.3505,77310
cifar10_densenet100_k12_sync_optMomentum,2,57.3321,365.1889,313.6584,79.46677778,384.5414,77393
cifar10_densenet100_k12_sync_optRmsprop,1,68.1629,348.5937,389.3903,5.465666667,391.9998,85642
cifar10_densenet100_k12_sync_optRmsprop,2,66.7808,369.5211,302.8301,89.88377778,386.8294,85586
cifar10_densenet100_k12_sync_use_fp16,1,82.2757,298.2739,435.3913,4.580111111,436.7408,75068
cifar10_densenet100_k12_sync_use_fp16,2,68.44,327.1788,384.071,60.70255556,412.823,75311
cifar10_densenet100_k12_sync_winograd,1,63.7986,283.495,394.4073,5.909555556,397.884,71131
cifar10_densenet100_k12_sync_winograd,2,60.8865,319.9543,314.3207,88.64555556,390.1096,71197
cifar10_densenet100_k12_sync_xla,1,60.0926,276.6753,370.1427,4.617888889,371.9618,71563
cifar10_densenet100_k12_sync_xla,2,67.174,285.0176,299.3689,75.05411111,367.443,71515
cifar10_densenet100_k24_async_batch128,1,209.368,754.7171,826.8604,7.668444444,830.8393,87529
cifar10_densenet100_k24_async_batch128,2,273.037,850.0426,481.1635,453.0776667,918.8991,87057
cifar10_densenet100_k24_async_batch32,1,110.1955,279.1816,362.0125,5.926555556,364.8023,71310
cifar10_densenet100_k24_async_batch32,2,126.3125,310.206,312.4698,76.917,387.3151,71194
cifar10_densenet100_k24_async_batch64,1,176.2673,445.9037,520.6583,4.608555556,523.3218,75578
cifar10_densenet100_k24_async_batch64,2,145.9926,453.9249,344.0226,205.0162222,543.8482,75428
cifar10_densenet100_k24_async_dataFormat,1,115.1148,351.7882,414.831,5.586,417.7347,43480
cifar10_densenet100_k24_async_dataFormat,2,131.2591,362.9909,325.0492,119.1495556,443.559,43624
cifar10_densenet100_k24_async_optMomentum,1,158.491,481.5213,493.6808,6.637555556,496.9161,82931
cifar10_densenet100_k24_async_optMomentum,2,109.644,512.0547,350.0689,183.1982222,525.2623,82599
cifar10_densenet100_k24_async_optRmsprop,1,152.2447,480.3891,493.7486,6.419,496.4869,89743
cifar10_densenet100_k24_async_optRmsprop,2,137.3967,541.184,366.3934,214.6075556,569.8246,89354
cifar10_densenet100_k24_async_use_fp16,1,105.8334,378.5307,455.7615,5.165,457.4996,78485
cifar10_densenet100_k24_async_use_fp16,2,133.4216,419.8661,372.6721,107.1497778,478.323,78252
cifar10_densenet100_k24_async_winograd,1,116.4476,410.1957,494.5009,3.641555556,495.8457,46126
cifar10_densenet100_k24_async_winograd,2,113.6716,479.0398,339.7656,197.3704444,545.033,46068
cifar10_densenet100_k24_async_xla,1,140.125,422.6936,499.6921,5.569444444,501.938,74983
cifar10_densenet100_k24_async_xla,2,131.204,435.7136,337.0953,186.9571111,524.1443,74982
cifar10_densenet100_k24_sync_batch128,1,266.7963,764.0101,844.1833,4.255888889,845.9356,3
cifar10_densenet100_k24_sync_batch128,2,190.3511,761.4411,482.8863,374.0574444,842.579,55785
cifar10_densenet100_k24_sync_batch32,1,117.1548,287.4606,406.6082,4.641555556,409.0146,71201
cifar10_densenet100_k24_sync_batch32,2,128.3402,300.96,324.3492,89.02288889,399.9996,71145
cifar10_densenet100_k24_sync_batch64,1,161.9062,457.7024,548.4001,3.888222222,549.7115,76178
cifar10_densenet100_k24_sync_batch64,2,171.8552,460.4184,385.9379,168.9724444,544.821,76223
cifar10_densenet100_k24_sync_dataFormat,1,130.4205,344.4536,452.7069,4.301222222,454.6185,74704
cifar10_densenet100_k24_sync_dataFormat,2,121.573,357.8211,330.7104,118.7662222,451.0197,74605
cifar10_densenet100_k24_sync_optMomentum,1,147.7822,473.1275,530.5582,4.294888889,531.2603,51863
cifar10_densenet100_k24_sync_optMomentum,2,161.4313,501.162,368.7964,167.4596667,526.7078,51585
cifar10_densenet100_k24_sync_optRmsprop,1,140.8422,484.0636,532.9077,5.626111111,535.8821,89987
cifar10_densenet100_k24_sync_optRmsprop,2,124.5935,508.1405,379.1742,159.1171111,528.1662,89922
cifar10_densenet100_k24_sync_use_fp16,1,106.8809,340.2038,462.916,5.106333333,465.195,78746
cifar10_densenet100_k24_sync_use_fp16,2,109.7769,377.2859,376.9017,94.28522222,451.9395,78684
cifar10_densenet100_k24_sync_winograd,1,155.9622,428.0579,532.7236,4.374444444,533.6152,46465
cifar10_densenet100_k24_sync_winograd,2,139.9689,438.6781,383.2621,154.4584444,529.6185,46390
cifar10_densenet100_k24_sync_xla,1,135.09,407.0758,536.8402,4.018,538.0035,76083
cifar10_densenet100_k24_sync_xla,2,183.4337,454.1307,387.6568,152.9947778,534.5339,75643
cifar10_densenet40_k12_async_batch128,1,27.0375,115.4659,148.4427,6.342,151.5042,52002
cifar10_densenet40_k12_async_batch128,2,29.9246,132.3831,144.5684,28.03866667,167.8477,51950
cifar10_densenet40_k12_async_batch256,1,23.3633,159.6041,191.2362,4.035777778,193.2858,54051
cifar10_densenet40_k12_async_batch256,2,24.3149,184.1938,121.7739,88.46077778,212.2669,53999
cifar10_densenet40_k12_async_batch32,1,24.7418,105.3645,137.5687,3.783555556,138.6211,21201
cifar10_densenet40_k12_async_batch32,2,22.0683,102.0702,122.531,15.10244444,133.2399,21195
cifar10_densenet40_k12_async_batch512,1,30.415,279.6004,315.1344,3.137,316.3075,58272
cifar10_densenet40_k12_async_batch512,2,18.8114,314.1756,150.573,179.4018889,347.3308,58407
cifar10_densenet40_k12_async_batch64,1,26.8549,100.0561,126.4679,2.409,127.7254,51273
cifar10_densenet40_k12_async_batch64,2,21.0942,107.1893,128.6003,10.61266667,136.6349,51039
cifar10_densenet40_k12_async_dataFormat,1,20.7099,110.8626,142.1562,4.483,144.7381,20988
cifar10_densenet40_k12_async_dataFormat,2,27.82,104.1983,130.8102,11.04544444,137.1768,20894
cifar10_densenet40_k12_async_optMomentum,1,25.6883,124.9399,132.0658,4.425888889,133.7262,53629
cifar10_densenet40_k12_async_optMomentum,2,25.4994,141.4476,142.0746,17.65411111,155.2736,53388
cifar10_densenet40_k12_async_optRmsprop,1,21.0382,119.8418,126.1144,4.019,128.2924,25260
cifar10_densenet40_k12_async_optRmsprop,2,24.7063,133.5206,129.756,14.45077778,139.6241,25254
cifar10_densenet40_k12_async_use_fp16,1,22.5425,132.5465,171.503,5.061333333,174.2828,52868
cifar10_densenet40_k12_async_use_fp16,2,21.8834,119.1868,145.0514,7.425666667,149.1363,52740
cifar10_densenet40_k12_async_winograd,1,25.4997,122.0977,152.725,3.515777778,153.6312,51272
cifar10_densenet40_k12_async_winograd,2,23.0352,104.2761,126.9073,11.94033333,135.7879,51403
cifar10_densenet40_k12_async_xla,1,27.2811,100.6708,130.6941,4.798333333,132.977,51077
cifar10_densenet40_k12_async_xla,2,28.2141,108.4226,129.9925,10.81422222,139.037,51022
cifar10_densenet40_k12_sync_batch128,1,19.1989,105.3222,164.9471,2.952,166.5627,51920
cifar10_densenet40_k12_sync_batch128,2,24.3181,126.1479,141.1894,25.06933333,160.8854,51915
cifar10_densenet40_k12_sync_batch256,1,24.2297,148.1886,192.5379,3.853666667,195.1222,53663
cifar10_densenet40_k12_sync_batch256,2,26.4675,158.8876,121.416,75.89855556,191.9636,53657
cifar10_densenet40_k12_sync_batch32,1,22.0951,112.0668,161.2134,3.921888889,163.8036,51436
cifar10_densenet40_k12_sync_batch32,2,27.3274,102.5304,131.2987,36.98055556,136.8626,51433
cifar10_densenet40_k12_sync_batch512,1,23.3097,275.6998,325.248,2.880555556,326.954,57777
cifar10_densenet40_k12_sync_batch512,2,24.3443,280.8378,160.9893,167.2048889,323.7268,57725
cifar10_densenet40_k12_sync_batch64,1,23.5665,97.2015,143.4882,3.485333333,145.0182,21193
cifar10_densenet40_k12_sync_batch64,2,26.5438,96.4685,123.7203,23.25166667,132.8601,21136
cifar10_densenet40_k12_sync_dataFormat,1,27.7808,74.5987,128.7552,3.156,129.5206,50781
cifar10_densenet40_k12_sync_dataFormat,2,28.007,86.285,115.7531,17.15322222,121.4791,50824
cifar10_densenet40_k12_sync_optMomentum,1,22.528,109.4343,132.2097,3.328,133.63,53782
