Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,resnet110v2,sync,batch32,2,52.778,179.6415,240.2796,44.31977778,246.2338,32199,1156.9375,,,,
cifar10,resnet110v2,sync,batch512,1,59.3378,299.7038,256.6768,116.7838889,371.0314,64594,387,,,,
cifar10,resnet110v2,sync,batch512,2,51.4261,315.0927,245.697,124.8308889,369.1976,64581,386.9375,,,,
cifar10,resnet110v2,sync,batch64,1,56.9155,205.7434,248.8149,20.48644444,267.5089,62128,1669,,,,
cifar10,resnet110v2,sync,batch64,2,51.8333,174.3104,218.6195,56.94855556,224.7287,61834,1700.9375,,,,
cifar10,resnet110v2,sync,dataFormat,1,46.0589,192.7883,228.4924,27.99555556,252.3467,61739,0,,,,
cifar10,resnet110v2,sync,dataFormat,2,50.1882,165.8662,234.0334,17.64644444,236.5227,61591,0,,,,
cifar10,resnet110v2,sync,optMomentum,1,38.5483,243.5208,208.9424,49.52244444,256.4418,66298,387,,,,
cifar10,resnet110v2,sync,optMomentum,2,55.5003,230.272,239.1589,21.10122222,248.0161,66343,386.9375,,,,
cifar10,resnet110v2,sync,optRmsprop,1,51.1085,259.9994,235.9642,46.34211111,275.7936,40041,477,,,,
cifar10,resnet110v2,sync,optRmsprop,2,47.2052,230.6558,238.079,41.28555556,249.9619,39966,386.9375,,,,
cifar10,resnet110v2,sync,usefp16,1,65.1016,203.9907,276.0676,8.424555556,281.3694,65158,29,,,,
cifar10,resnet110v2,sync,usefp16,2,46.6659,172.0109,221.7546,50.97355556,226.9873,65048,30.9375,,,,
cifar10,resnet110v2,sync,winograd,1,42.6286,200.1077,203.7302,57.05022222,255.6053,31764,387,,,,
cifar10,resnet110v2,sync,winograd,2,45.7657,189.4182,246.8807,11.92144444,249.66,31336,386.9375,,,,
cifar10,resnet110v2,sync,xla,1,57.7978,219.4696,240.6536,43.22677778,293.2154,62766,1701,,,,
cifar10,resnet110v2,sync,xla,2,63.5909,203.5147,259.0922,39.44611111,266.7666,62702,388.9375,,,,
cifar10,resnet20,async,batch128,1,9.499,38.5378,50.4279,7.008,55.741,45421,1221,,,,
cifar10,resnet20,async,batch128,2,9.5641,49.6915,62.8559,8.911666667,67.4648,45409,1220.9375,,,,
cifar10,resnet20,async,batch256,1,9.2503,40.3446,50.7385,9.185555556,57.6748,44932,1799,,,,
cifar10,resnet20,async,batch256,2,11.2648,43.6995,55.3816,12.479,64.9999,44789,1806.9375,,,,
cifar10,resnet20,async,batch32,1,8.1897,42.3657,55.8454,7.010111111,60.5787,44600,387,,,,
cifar10,resnet20,async,batch32,2,10.5665,40.4233,49.806,9.634,55.8043,44537,386.9375,,,,
cifar10,resnet20,async,batch512,1,10.2064,58.1699,60.49,16.81555556,76.0957,45439,2967,,,,
cifar10,resnet20,async,batch512,2,11.8164,65.6158,66.8615,24.51044444,88.1817,45438,2950.9375,,,,
cifar10,resnet20,async,batch64,1,13.0483,39.4991,52.9823,7.792888889,58.3574,44256,0,,,,
cifar10,resnet20,async,batch64,2,11.5375,38.0149,49.9141,9.267777778,55.003,44202,0,,,,
cifar10,resnet20,async,dataFormat,1,9.5229,38.6959,51.565,5.234777778,55.3263,44690,933,,,,
cifar10,resnet20,async,dataFormat,2,12.3718,47.6985,61.9706,8.813666667,67.1866,44736,932.9375,,,,
cifar10,resnet20,async,optMomentum,1,10.595,56.3796,58.0597,5.426888889,61.4199,44949,933,,,,
cifar10,resnet20,async,optMomentum,2,9.1293,49.5641,47.7945,8.921333333,53.4966,44891,932.9375,,,,
cifar10,resnet20,async,optRmsprop,1,12.5236,57.0741,58.1369,6.609444444,62.4385,15795,933,,,,
cifar10,resnet20,async,optRmsprop,2,13.3692,53.5157,50.4016,9.210555556,56.5392,15727,932.9375,,,,
cifar10,resnet20,async,usefp16,1,14.3723,57.8934,74.565,5.194888889,77.1697,14583,12,,,,
cifar10,resnet20,async,usefp16,2,10.4235,50.4137,61.5737,8.868777778,66.584,14530,11.9375,,,,
cifar10,resnet20,async,winograd,1,8.2126,43.6557,54.3695,5.024888889,57.196,44537,933,,,,
cifar10,resnet20,async,winograd,2,11.0897,43.4302,52.3217,5.836777778,54.9612,44578,386.9375,,,,
cifar10,resnet20,async,xla,1,8.9118,42.7874,53.6048,5.772888889,57.6827,44436,31,,,,
cifar10,resnet20,async,xla,2,10.7158,51.5406,66.5912,8.336222222,71.0902,44386,30.9375,,,,
cifar10,resnet20,sync,batch128,1,15.5736,42.4648,61.0875,7.893555556,67.1576,14579,387,,,,
cifar10,resnet20,sync,batch128,2,10.8365,37.1199,49.3207,19.47366667,52.9887,14756,386.9375,,,,
cifar10,resnet20,sync,batch256,1,13.6205,48.0821,55.8664,13.97422222,67.8667,44597,0,,,,
cifar10,resnet20,sync,batch256,2,11.8531,43.8362,50.1997,20.01811111,64.452,44593,0,,,,
cifar10,resnet20,sync,batch32,1,10.7321,45.1371,58.5712,6.466,63.5239,14612,789,,,,
cifar10,resnet20,sync,batch32,2,12.4348,36.0013,46.5152,15.943,51.5529,14595,788.9375,,,,
cifar10,resnet20,sync,batch512,1,16.1012,60.8467,63.4949,23.12877778,84.0408,45646,2951,,,,
cifar10,resnet20,sync,batch512,2,13.7339,59.4505,64.0153,22.43511111,82.4394,45595,2950.9375,,,,
cifar10,resnet20,sync,batch64,1,10.6452,45.8049,55.9802,8.881,63.9007,44423,933,,,,
cifar10,resnet20,sync,batch64,2,14.331,41.9734,55.5759,10.52477778,58.4372,44309,932.9375,,,,
cifar10,resnet20,sync,dataFormat,1,11.8898,44.36,57.7105,6.822555556,62.9325,14407,0,,,,
cifar10,resnet20,sync,dataFormat,2,9.1668,35.3659,45.4858,14.86166667,49.1911,14354,0,,,,
cifar10,resnet20,sync,optMomentum,1,15.3831,64.4942,57.7896,14.26344444,71.7878,45462,12,,,,
cifar10,resnet20,sync,optMomentum,2,11.1267,63.097,61.7313,12.11455556,66.2372,45504,11.9375,,,,
cifar10,resnet20,sync,optRmsprop,1,10.5949,53.2026,50.3883,11.39822222,59.5136,45499,0,,,,
cifar10,resnet20,sync,optRmsprop,2,11.2444,48.3724,49.3193,9.863777778,52.3716,45445,0,,,,
cifar10,resnet20,sync,usefp16,1,13.1917,45.602,58.9528,7.613555556,66.9608,45209,917,,,,
cifar10,resnet20,sync,usefp16,2,13.2999,38.4273,53.7431,16.00888889,57.2626,45158,916.9375,,,,
cifar10,resnet20,sync,winograd,1,15.648,45.8296,58.0365,8.035777778,65.8648,14485,933,,,,
cifar10,resnet20,sync,winograd,2,13.2407,40.6491,50.9054,17.61933333,56.007,14479,932.9375,,,,
cifar10,resnet20,sync,xla,1,11.5303,47.5727,49.6902,15.40555556,64.6077,44952,933,,,,
cifar10,resnet20,sync,xla,2,12.4025,42.9997,55.2204,11.647,58.6806,44946,446.9375,,,,
cifar10,resnet20v2,async,batch128,1,8.6309,42.8308,54.6897,5.532555556,58.1659,14225,1221,,,,
cifar10,resnet20v2,async,batch128,2,10.0331,34.8659,44.0755,7.704222222,48.5239,14170,646.9375,,,,
cifar10,resnet20v2,async,batch256,1,9.3277,42.7999,51.9632,8.416777778,57.9862,44169,35,,,,
cifar10,resnet20v2,async,batch256,2,10.6649,41.7463,43.1888,13.20033333,54.1375,44112,34.9375,,,,
cifar10,resnet20v2,async,batch32,1,8.2497,38.2074,46.9059,5.855222222,50.5534,13955,789,,,,
cifar10,resnet20v2,async,batch32,2,11.4762,45.1225,57.9161,7.513,62.29,13898,788.9375,,,,
cifar10,resnet20v2,async,batch512,1,12.8655,61.879,67.5938,14.12411111,80.1893,44605,2967,,,,
cifar10,resnet20v2,async,batch512,2,8.7307,63.9504,45.9306,37.05422222,78.0289,44372,2966.9375,,,,
cifar10,resnet20v2,async,batch64,1,10.4508,34.1895,44.7748,7.269666667,48.7197,44454,387,,,,
cifar10,resnet20v2,async,batch64,2,14.5167,40.6213,55.4571,10.08777778,61.7591,44391,386.9375,,,,
cifar10,resnet20v2,async,dataFormat,1,8.8982,40.7764,50.4431,7.293444444,55.8669,44200,389,,,,
cifar10,resnet20v2,async,dataFormat,2,9.5133,40.5524,51.0466,7.230777778,54.405,44139,388.9375,,,,
cifar10,resnet20v2,async,optMomentum,1,10.4628,40.4537,43.2642,5.994,47.2405,14638,623,,,,
cifar10,resnet20v2,async,optMomentum,2,10.5004,46.2849,47.8632,11.36611111,55.2023,14820,612.9375,,,,
cifar10,resnet20v2,async,optRmsprop,1,10.1143,42.0397,43.367,6.778111111,48.0818,15064,933,,,,
cifar10,resnet20v2,async,optRmsprop,2,10.5879,48.0646,46.5179,9.511444444,52.0567,15012,932.9375,,,,
cifar10,resnet20v2,async,usefp16,1,10.5318,52.2433,61.5909,7.318777778,66.7336,45223,387,,,,
cifar10,resnet20v2,async,usefp16,2,10.173,52.8934,65.2034,7.814777778,69.7143,44976,386.9375,,,,
cifar10,resnet20v2,async,winograd,1,10.4397,46.6579,57.0993,8.748444444,63.2282,14084,933,,,,
cifar10,resnet20v2,async,winograd,2,8.5413,34.7463,42.541,7.892,47.7792,14018,932.9375,,,,
cifar10,resnet20v2,async,xla,1,9.8087,39.59,52.2781,5.089555556,55.4414,13928,933,,,,
cifar10,resnet20v2,async,xla,2,8.797,47.0252,54.3469,8.062444444,58.9966,14015,932.9375,,,,
cifar10,resnet20v2,sync,batch128,1,10.6582,48.066,55.5666,10.93144444,66.1666,45144,1221,,,,
cifar10,resnet20v2,sync,batch128,2,12.3539,39.7581,54.2239,13.76544444,57.6124,44907,392.9375,,,,
cifar10,resnet20v2,sync,batch256,1,14.2364,42.6878,51.3139,13.77133333,63.5953,44685,387,,,,
cifar10,resnet20v2,sync,batch256,2,10.745,41.588,47.779,18.31333333,56.9839,44578,386.9375,,,,
cifar10,resnet20v2,sync,batch32,1,8.4588,38.5222,45.6157,9.418,52.9269,44236,789,,,,
cifar10,resnet20v2,sync,batch32,2,9.5994,30.9297,41.4364,11.20688889,45.1331,44152,584.9375,,,,
cifar10,resnet20v2,sync,batch512,1,11.8386,61.3627,62.6343,17.54388889,79.4123,45105,2951,,,,
cifar10,resnet20v2,sync,batch512,2,10.2346,60.1729,49.4047,32.17066667,75.3643,45103,2966.9375,,,,
cifar10,resnet20v2,sync,batch64,1,13.3031,39.5285,50.0557,7.932666667,56.5475,44523,933,,,,
cifar10,resnet20v2,sync,batch64,2,9.5486,33.3895,48.2329,9.618888889,51.7379,44466,932.9375,,,,
cifar10,resnet20v2,sync,dataFormat,1,12.5377,42.6811,53.2441,9.512,60.0444,44416,933,,,,
cifar10,resnet20v2,sync,dataFormat,2,12.9057,32.6156,43.3711,17.36522222,48.5085,44361,932.9375,,,,
cifar10,resnet20v2,sync,optMomentum,1,10.365,61.4145,48.3688,18.62633333,66.9477,45151,657,,,,
cifar10,resnet20v2,sync,optMomentum,2,10.8249,59.9058,62.1247,6.066777778,64.3135,45149,650.9375,,,,
cifar10,resnet20v2,sync,optRmsprop,1,12.4383,65.2515,60.6171,10.86977778,69.6602,46210,0,,,,
cifar10,resnet20v2,sync,optRmsprop,2,9.3928,56.1305,54.4217,17.967,59.007,46205,0,,,,
cifar10,resnet20v2,sync,usefp16,1,11.4071,40.8912,58.494,17.18344444,73.9937,14611,917,,,,
cifar10,resnet20v2,sync,usefp16,2,15.1524,47.7848,63.1945,13.126,67.8092,14609,916.9375,,,,
cifar10,resnet20v2,sync,winograd,1,10.1871,37.4516,46.5702,10.08966667,54.0212,44131,491,,,,
cifar10,resnet20v2,sync,winograd,2,9.4354,32.6034,44.673,9.089888889,48.2522,44077,510.9375,,,,
cifar10,resnet20v2,sync,xla,1,11.814,47.2337,58.5006,8.196333333,64.7811,13954,933,,,,
cifar10,resnet20v2,sync,xla,2,10.3909,38.0489,50.7968,13.94788889,53.4369,13898,932.9375,,,,
cifar10,resnet32,async,batch128,1,16.092,52.5364,74.3341,6.273,77.306,46699,1221,,,,
cifar10,resnet32,async,batch128,2,19.8243,60.9493,72.4261,11.53666667,81.3416,46693,1220.9375,,,,
cifar10,resnet32,async,batch256,1,16.4608,61.5725,76.9325,10.95755556,86.332,47005,1799,,,,
cifar10,resnet32,async,batch256,2,24.2091,69.7044,91.1456,16.12166667,102.6578,46954,1798.9375,,,,
cifar10,resnet32,async,batch32,1,13.9735,68.491,87.8675,7.582222222,92.8552,16659,789,,,,
cifar10,resnet32,async,batch32,2,15.0098,78.2949,97.1455,8.024888889,101.3165,16657,788.9375,,,,
cifar10,resnet32,async,batch512,1,15.482,84.4212,86.1313,27.01344444,110.7679,47423,2951,,,,
cifar10,resnet32,async,batch512,2,16.4833,98.3942,78.0363,51.36122222,122.7173,47407,2950.9375,,,,
cifar10,resnet32,async,batch64,1,13.7421,56.5989,73.7034,5.976888889,78.2769,16391,933,,,,
cifar10,resnet32,async,batch64,2,21.0201,70.8914,96.0003,11.93655556,102.9262,16163,932.9375,,,,
cifar10,resnet32,async,dataFormat,1,18.3393,77.5893,98.5183,6.314777778,102.2456,46637,933,,,,
cifar10,resnet32,async,dataFormat,2,15.4078,69.5837,86.8627,8.120555556,91.3811,46528,932.9375,,,,
cifar10,resnet32,async,optMomentum,1,14.9839,73.5957,75.5426,8.602,82.6078,48451,387,,,,
cifar10,resnet32,async,optMomentum,2,19.9577,93.0328,95.5791,12.29333333,102.6938,48396,386.9375,,,,
cifar10,resnet32,async,optRmsprop,1,19.5489,82.9183,83.2794,9.155333333,89.001,49436,387,,,,
cifar10,resnet32,async,optRmsprop,2,14.5821,93.2645,94.294,14.45888889,104.0994,49380,386.9375,,,,
cifar10,resnet32,async,usefp16,1,20.7293,68.8572,89.9642,6.508222222,94.4542,17752,917,,,,
cifar10,resnet32,async,usefp16,2,18.6576,86.0201,100.1303,15.12233333,108.4748,17701,916.9375,,,,
cifar10,resnet32,async,winograd,1,14.8108,68.7465,84.0852,8.333444444,88.9826,46552,365,,,,
cifar10,resnet32,async,winograd,2,12.0337,69.9993,83.8329,10.31944444,89.6727,46788,358.9375,,,,
cifar10,resnet32,async,xla,1,20.1796,71.4213,94.7828,9.582555556,101.6854,46697,933,,,,
cifar10,resnet32,async,xla,2,15.5418,65.7779,79.4703,10.91444444,85.8053,46643,932.9375,,,,
cifar10,resnet32,sync,batch128,1,16.4767,79.0438,81.9024,25.84955556,105.0532,47485,387,,,,
cifar10,resnet32,sync,batch128,2,19.5801,68.3148,93.4315,14.69966667,99.6119,47481,386.9375,,,,
cifar10,resnet32,sync,batch256,1,16.7683,74.8286,85.1957,21.019,103.576,47121,1807,,,,
cifar10,resnet32,sync,batch256,2,15.6433,68.5332,83.4868,22.73411111,92.7997,47120,1798.9375,,,,
cifar10,resnet32,sync,batch32,1,14.5421,71.2924,89.7522,8.594777778,95.8118,47096,789,,,,
cifar10,resnet32,sync,batch32,2,21.3772,57.2297,76.0768,23.45544444,79.7533,47041,386.9375,,,,
cifar10,resnet32,sync,batch512,1,15.0691,91.2815,89.111,29.71322222,118.3966,47858,2951,,,,
cifar10,resnet32,sync,batch512,2,16.3871,87.9604,82.9339,38.07888889,114.5324,47801,2966.9375,,,,
cifar10,resnet32,sync,batch64,1,16.4905,77.059,89.2721,16.244,103.8696,16814,339,,,,
cifar10,resnet32,sync,batch64,2,15.8488,66.1258,85.1072,21.76811111,89.0671,16857,342.9375,,,,
cifar10,resnet32,sync,dataFormat,1,18.848,67.148,72.6814,22.43722222,93.0349,47016,415,,,,
cifar10,resnet32,sync,dataFormat,2,16.2516,60.8341,84.6739,11.54477778,88.2631,46961,386.9375,,,,
cifar10,resnet32,sync,optMomentum,1,16.3232,99.3835,87.26,22.60444444,107.0984,18246,933,,,,
cifar10,resnet32,sync,optMomentum,2,20.4285,82.883,83.5666,24.91455556,88.1835,18376,932.9375,,,,
cifar10,resnet32,sync,optRmsprop,1,14.5345,101.6075,94.8308,17.52755556,109.7954,50220,933,,,,
cifar10,resnet32,sync,optRmsprop,2,21.1754,82.8102,84.8089,21.00588889,90.3662,50168,932.9375,,,,
cifar10,resnet32,sync,usefp16,1,24.2416,70.3877,91.0866,13.82,102.7244,48100,917,,,,
cifar10,resnet32,sync,usefp16,2,19.1342,67.853,86.8317,17.36333333,90.5858,48042,916.9375,,,,
cifar10,resnet32,sync,winograd,1,20.965,75.1711,98.1753,7.320666667,103.7361,47051,933,,,,
cifar10,resnet32,sync,winograd,2,18.5795,60.3469,79.2711,27.32266667,84.7878,47046,932.9375,,,,
cifar10,resnet32,sync,xla,1,23.2774,68.1187,92.9928,10.00766667,100.4802,16990,933,,,,
cifar10,resnet32,sync,xla,2,20.9486,55.2798,70.7692,30.72333333,76.4588,16928,452.9375,,,,
cifar10,resnet32v2,async,batch128,1,10.3354,55.1721,66.5872,7.764222222,71.4727,16430,393,,,,
cifar10,resnet32v2,async,batch128,2,11.7399,71.4818,86.1338,10.72788889,93.0313,16422,392.9375,,,,
cifar10,resnet32v2,async,batch256,1,15.4154,76.6873,91.058,12.24833333,102.309,46348,387,,,,
cifar10,resnet32v2,async,batch256,2,16.3088,66.7586,72.0361,15.90855556,85.3713,46525,386.9375,,,,
cifar10,resnet32v2,async,batch32,1,17.3891,68.3412,87.6129,7.920333333,92.5536,16305,0,,,,
cifar10,resnet32v2,async,batch32,2,14.2161,62.5867,78.3678,8.979555556,84.0607,16304,0,,,,
cifar10,resnet32v2,async,batch512,1,17.0324,85.4777,82.7992,31.02722222,112.7696,47452,2951,,,,
cifar10,resnet32v2,async,batch512,2,17.8409,100.1519,80.601,51.16255556,125.0077,47488,2966.9375,,,,
cifar10,resnet32v2,async,batch64,1,14.4956,51.0309,64.7573,6.690666667,68.8003,16126,387,,,,
cifar10,resnet32v2,async,batch64,2,12.8274,56.6771,66.7631,8.195222222,72.0663,16065,386.9375,,,,
cifar10,resnet32v2,async,dataFormat,1,14.1811,59.5199,73.4685,5.995666667,77.7011,46308,933,,,,
cifar10,resnet32v2,async,dataFormat,2,15.3909,70.9698,85.6986,10.90833333,92.7026,46481,932.9375,,,,
cifar10,resnet32v2,async,optMomentum,1,14.6207,75.8828,74.7597,8.267222222,81.2876,47653,933,,,,
cifar10,resnet32v2,async,optMomentum,2,15.2875,86.7647,87.1117,12.06733333,94.2114,47598,932.9375,,,,
cifar10,resnet32v2,async,optRmsprop,1,17.3771,73.4508,78.6153,7.846777778,83.9894,18391,0,,,,
cifar10,resnet32v2,async,optRmsprop,2,12.6601,61.7891,60.6605,9.375666667,66.01,18429,0,,,,
cifar10,resnet32v2,async,usefp16,1,15.1504,59.8,73.1434,6.787666667,77.7201,47174,917,,,,
cifar10,resnet32v2,async,usefp16,2,18.9517,67.4312,85.5342,9.686555556,91.4257,47119,916.9375,,,,
cifar10,resnet32v2,async,winograd,1,14.4669,73.324,89.2514,8.508777778,95.7228,46466,933,,,,
cifar10,resnet32v2,async,winograd,2,13.1061,66.433,79.0782,11.96733333,87.639,46446,932.9375,,,,
cifar10,resnet32v2,async,xla,1,16.16,55.0871,72.893,8.022111111,78.621,45881,0,,,,
cifar10,resnet32v2,async,xla,2,14.6041,61.8034,78.0168,7.864555556,82.0603,45929,0,,,,
cifar10,resnet32v2,sync,batch128,1,18.0395,64.3357,75.1521,14.15555556,88.4978,46764,1221,,,,
cifar10,resnet32v2,sync,batch128,2,15.6128,60.2108,75.76,15.81633333,79.8031,46694,1220.9375,,,,
cifar10,resnet32v2,sync,batch256,1,14.6231,73.1441,77.1008,25.26611111,101.1419,47183,0,,,,
cifar10,resnet32v2,sync,batch256,2,16.5267,69.9122,84.6832,20.13911111,93.1982,47181,0,,,,
cifar10,resnet32v2,sync,batch32,1,16.7933,64.085,70.5106,19.32555556,86.4046,46993,0,,,,
cifar10,resnet32v2,sync,batch32,2,17.0589,58.9541,75.1506,13.12066667,79.4121,46980,0,,,,
cifar10,resnet32v2,sync,batch512,1,18.1321,94.1714,98.4813,27.06855556,124.5614,47530,2951,,,,
cifar10,resnet32v2,sync,batch512,2,13.0119,96.9214,73.9121,50.52888889,119.7907,47525,2966.9375,,,,
cifar10,resnet32v2,sync,batch64,1,16.6854,78.4861,85.241,21.63666667,103.2022,46608,12,,,,
cifar10,resnet32v2,sync,batch64,2,20.4162,67.6028,91.8525,12.26277778,96.8647,46556,11.9375,,,,
cifar10,resnet32v2,sync,dataFormat,1,13.9586,55.5011,74.4896,9.346888889,81.963,46633,0,,,,
cifar10,resnet32v2,sync,dataFormat,2,15.1067,48.7693,65.4089,16.649,69.0869,46628,0,,,,
cifar10,resnet32v2,sync,optMomentum,1,14.2469,83.0372,79.3362,8.228777778,88.1966,47846,933,,,,
cifar10,resnet32v2,sync,optMomentum,2,19.8488,73.8327,73.836,17.34944444,78.1594,47841,932.9375,,,,
cifar10,resnet32v2,sync,optRmsprop,1,16.008,77.4998,74.8777,11.18822222,84.9488,48702,35,,,,
cifar10,resnet32v2,sync,optRmsprop,2,13.0975,66.9327,67.4854,20.31933333,70.6105,48686,64.9375,,,,
cifar10,resnet32v2,sync,usefp16,1,15.0833,77.8491,94.9326,8.082666667,102.6443,47554,917,,,,
cifar10,resnet32v2,sync,usefp16,2,16.3091,61.0936,80.4625,24.99711111,83.3754,47498,916.9375,,,,
cifar10,resnet32v2,sync,winograd,1,14.3533,66.1794,79.7229,10.90522222,88.898,46570,0,,,,
cifar10,resnet32v2,sync,winograd,2,14.7908,57.8868,74.8697,13.43688889,78.9894,46568,0,,,,
cifar10,resnet32v2,sync,xla,1,18.4706,69.8441,76.9451,20.81611111,94.188,47096,933,,,,
cifar10,resnet32v2,sync,xla,2,14.6428,68.6005,84.5268,10.275,88.0198,46857,932.9375,,,,
cifar10,resnet44,async,batch128,1,21.2803,82.9136,104.2726,8.342888889,110.5634,48939,1221,,,,
cifar10,resnet44,async,batch128,2,25.1945,80.6907,103.5408,8.928333333,110.7732,48881,1220.9375,,,,
cifar10,resnet44,async,batch256,1,24.3656,100.0618,120.5069,10.18555556,128.8364,49432,387,,,,
cifar10,resnet44,async,batch256,2,25.1244,93.8297,109.1566,19.71188889,125.4047,49418,386.9375,,,,
cifar10,resnet44,async,batch32,1,27.9614,81.4435,111.1111,6.862666667,116.2491,48974,917,,,,
cifar10,resnet44,async,batch32,2,23.0007,86.0507,112.1531,13.79466667,121.8416,49020,386.9375,,,,
cifar10,resnet44,async,batch512,1,19.6243,116.6412,126.201,19.75888889,147.3645,50436,35,,,,
cifar10,resnet44,async,batch512,2,23.1564,-1.00E+12,111.8768,72.00744444,176.3244,50428,34.9375,,,,
cifar10,resnet44,async,batch64,1,17.3981,84.951,106.9356,5.879111111,111.067,49539,933,,,,
cifar10,resnet44,async,batch64,2,24.8969,89.3551,112.4906,8.976,118.1867,49583,932.9375,,,,
cifar10,resnet44,async,dataFormat,1,17.6702,73.2852,96.339,6.874777778,100.7018,19232,0,,,,
cifar10,resnet44,async,dataFormat,2,15.942,109.8485,138.7469,9.500777778,143.9914,19229,0,,,,
cifar10,resnet44,async,optMomentum,1,20.0222,95.848,97.5298,6.161222222,101.9738,51101,0,,,,
cifar10,resnet44,async,optMomentum,2,26.4926,99.0457,109.6199,8.819777778,114.8079,50857,0,,,,
cifar10,resnet44,async,optRmsprop,1,26.4239,120.3309,123.7516,8.741777778,128.6,23638,387,,,,
cifar10,resnet44,async,optRmsprop,2,29.3138,112.9208,102.1264,20.38844444,118.9355,23588,386.9375,,,,
cifar10,resnet44,async,usefp16,1,22.7935,105.7905,129.3894,6.575111111,134.0163,20342,387,,,,
cifar10,resnet44,async,usefp16,2,25.4617,111.3364,134.0817,8.024666667,141.9225,20199,386.9375,,,,
cifar10,resnet44,async,winograd,1,18.5654,81.7559,106.7242,5.572666667,110.156,49333,933,,,,
cifar10,resnet44,async,winograd,2,20.5959,90.3297,117.3346,13.78544444,126.8104,49275,932.9375,,,,
cifar10,resnet44,async,xla,1,17.5603,92.0955,114.9991,8.878222222,120.2224,48449,933,,,,
cifar10,resnet44,async,xla,2,21.4795,99.587,127.1742,10.33288889,132.3368,48397,932.9375,,,,
cifar10,resnet44,sync,batch128,1,25.2464,91.1487,120.5003,6.274,125.0119,49646,1221,,,,
cifar10,resnet44,sync,batch128,2,25.6808,62.9918,87.4705,35.35244444,93.9543,49294,1220.9375,,,,
cifar10,resnet44,sync,batch256,1,22.7261,107.6351,110.8832,32.84511111,140.1209,50479,1799,,,,
cifar10,resnet44,sync,batch256,2,24.2261,101.2231,118.9144,24.66222222,131.5439,50460,1798.9375,,,,
cifar10,resnet44,sync,batch32,1,25.6194,103.9433,123.9664,16.30322222,139.1545,49978,343,,,,
cifar10,resnet44,sync,batch32,2,28.2547,87.2654,117.687,25.49222222,126.755,49795,346.9375,,,,
cifar10,resnet44,sync,batch512,1,20.0054,123.2575,121.3217,34.50277778,156.3281,20167,2951,,,,
cifar10,resnet44,sync,batch512,2,24.297,116.4846,103.0369,56.56477778,148.1094,20106,2950.9375,,,,
cifar10,resnet44,sync,batch64,1,28.61,102.0568,123.3575,14.36566667,138.6193,49604,933,,,,
cifar10,resnet44,sync,batch64,2,28.7657,85.9524,118.7683,23.52811111,121.9835,49600,932.9375,,,,
cifar10,resnet44,sync,dataFormat,1,30.4993,85.8036,103.7759,15.95011111,118.4565,49569,933,,,,
cifar10,resnet44,sync,dataFormat,2,20.0254,79.389,105.1661,15.99355556,109.2632,49622,932.9375,,,,
cifar10,resnet44,sync,optMomentum,1,18.9806,112.2273,103.3154,21.89377778,122.5868,51837,359,,,,
cifar10,resnet44,sync,optMomentum,2,25.8839,110.3575,108.9463,16.35088889,114.854,51835,358.9375,,,,
cifar10,resnet44,sync,optRmsprop,1,25.7494,124.6873,107.4474,31.75377778,134.2627,53545,12,,,,
cifar10,resnet44,sync,optRmsprop,2,29.5209,110.5192,116.7227,20.60222222,120.7555,53486,11.9375,,,,
cifar10,resnet44,sync,usefp16,1,27.179,111.4335,141.724,27.02144444,164.788,20557,917,,,,
cifar10,resnet44,sync,usefp16,2,31.0104,110.253,145.7745,18.97811111,148.9963,20493,386.9375,,,,
cifar10,resnet44,sync,winograd,1,23.272,107.9082,140.6143,9.904222222,148.0064,49854,0,,,,
cifar10,resnet44,sync,winograd,2,23.4452,84.26,109.0981,37.531,116.8379,49853,0,,,,
cifar10,resnet44,sync,xla,1,22.6378,102.2054,130.7196,10.28255556,139.9223,19280,573,,,,
cifar10,resnet44,sync,xla,2,26.4707,81.2105,111.7276,33.77488889,123.9748,19220,386.9375,,,,
cifar10,resnet44v2,async,batch128,1,20.981,89.625,110.8372,7.676555556,117.2766,47993,1221,,,,
cifar10,resnet44v2,async,batch128,2,18.2638,88.532,109.6654,9.213666667,114.6168,48084,1220.9375,,,,
cifar10,resnet44v2,async,batch256,1,17.4391,93.1592,112.2804,11.95355556,123.3984,48926,0,,,,
cifar10,resnet44v2,async,batch256,2,16.1639,91.607,96.4528,23.77577778,116.1196,48973,0,,,,
cifar10,resnet44v2,async,batch32,1,19.1893,80.908,101.6042,8.489111111,107.2642,48514,917,,,,
cifar10,resnet44v2,async,batch32,2,16.6892,81.52,96.8632,12.71533333,104.0939,48656,916.9375,,,,
cifar10,resnet44v2,async,batch512,1,18.2524,117.9499,107.8266,38.49077778,144.3292,19840,2967,,,,
cifar10,resnet44v2,async,batch512,2,17.7313,136.3214,95.3225,69.77888889,159.4968,19782,2950.9375,,,,
cifar10,resnet44v2,async,batch64,1,20.8095,80.7802,105.1744,6.355888889,110.195,18959,499,,,,
cifar10,resnet44v2,async,batch64,2,21.5005,72.5966,88.5986,9.078222222,93.7347,18957,386.9375,,,,
cifar10,resnet44v2,async,dataFormat,1,25.972,84.9859,105.3068,11.17411111,113.6282,18231,0,,,,
