Dataset,Model,syncronization,hyperparameter,w_idx,RX_time(ms),TX_time(ms),GPU_Active(ms),GPU_Idle(ms),1_Iter_time(ms),Total_time(ms),GPU_Memory(MB),,,,
cifar10,densenet100k12,async,dataFormat,1,55.35,266.4479,314.7234,30.19233333,344.4048,70026,387,,,,
cifar10,densenet100k12,async,dataFormat,2,62.1753,262.577,285.7971,53.40622222,333.2056,70021,386.9375,,,,
cifar10,densenet100k12,async,optMomentum,1,60.212,337.8182,328.4858,33.96355556,362.8113,76967,387,,,,
cifar10,densenet100k12,async,optMomentum,2,48.6435,367.2544,304.2511,82.98477778,382.2048,76911,386.9375,,,,
cifar10,densenet100k12,async,optRmsprop,1,63.0886,359.7725,335.9449,49.54111111,378.0366,84103,8837,,,,
cifar10,densenet100k12,async,optRmsprop,2,61.047,370.0993,321.755,71.77133333,394.2882,84148,388.9375,,,,
cifar10,densenet100k12,async,usefp16,1,74.4064,325.584,370.8779,36.03944444,400.0271,74002,0,,,,
cifar10,densenet100k12,async,usefp16,2,63.8992,293.5124,328.6128,55.20266667,374.3678,73854,0,,,,
cifar10,densenet100k12,async,winograd,1,53.0523,276.5648,303.117,56.01411111,358.4221,70511,0,,,,
cifar10,densenet100k12,async,winograd,2,61.1217,308.2327,305.7186,88.02444444,382.9423,70290,0,,,,
cifar10,densenet100k12,async,xla,1,45.8952,281.576,347.1939,23.045,365.3888,70329,8837,,,,
cifar10,densenet100k12,async,xla,2,45.2919,319.1807,311.4804,74.21722222,380.8845,70278,418.9375,,,,
cifar10,densenet100k12,sync,batch128,1,54.7765,424.213,360.1401,158.8314444,516.3381,75954,511,,,,
cifar10,densenet100k12,sync,batch128,2,60.229,437.112,322.9227,198.103,510.7,75698,506.9375,,,,
cifar10,densenet100k12,sync,batch256,1,58.7623,782.2584,495.4475,386.3704444,878.822,88228,387,,,,
cifar10,densenet100k12,sync,batch256,2,65.2777,799.76,495.08,381.7744444,872.0731,87779,386.9375,,,,
cifar10,densenet100k12,sync,batch32,1,64.0664,220.6957,278.8046,53.91955556,326.8119,69515,4741,,,,
cifar10,densenet100k12,sync,batch32,2,68.8703,236.2573,295.2247,28.45733333,316.013,69415,4740.9375,,,,
cifar10,densenet100k12,sync,batch64,1,56.5087,281.1628,290.8363,98.55388889,384.8382,71463,389,,,,
cifar10,densenet100k12,sync,batch64,2,60.6182,299.2446,317.7734,71.64944444,382.6199,70994,388.9375,,,,
cifar10,densenet100k12,sync,dataFormat,1,77.9792,253.3936,307.814,52.50144444,365.0017,70897,8837,,,,
cifar10,densenet100k12,sync,dataFormat,2,70.4524,255.3782,301.3472,69.98233333,342.9697,70310,8836.9375,,,,
cifar10,densenet100k12,sync,optMomentum,1,54.6446,349.0352,313.1032,72.45622222,387.3505,77310,387,,,,
cifar10,densenet100k12,sync,optMomentum,2,57.3321,365.1889,313.6584,79.46677778,384.5414,77393,386.9375,,,,
